project,model,psnr_diff,ssim_diff,lpips_diff,psnr_model,psnr_base,ssim_model,ssim_base,lpips_model,lpips_base,loss_diff,gaussian_diff,time_diff_s,geometry_lr_mult,appearance_lr_mult,densification_mult
12-Maisonneuve Market,model_mlp_20260710_205501_final_offline_data_june_27-training-data-mlp,-0.1902027130126953,0.0007781982421875,0.000543057918548584,16.908058166503906,17.0982608795166,0.6540319919586182,0.6532537937164307,0.47341352701187134,0.4739565849304199,-0.007098428905010223,-78583,27.09461236000061,1.0,1.0,1.0
4-Thomas-More-Church,model_mlp_20260710_205501_final_offline_data_june_27-training-data-mlp,0.07375717163085938,0.006300449371337891,0.009721517562866211,21.941198348999023,21.867441177368164,0.786413848400116,0.7801133990287781,0.29227325320243835,0.30199477076530457,0.021105274558067322,-181032,265.45131373405457,1.0,1.0,1.0
Brasov,model_mlp_20260710_205501_final_offline_data_june_27-training-data-mlp,0.06997871398925781,0.01336437463760376,0.025291800498962402,23.432212829589844,23.362234115600586,0.8156480193138123,0.8022836446762085,0.16725073754787445,0.19254253804683685,-0.0022185854613780975,-443111,-4.762771368026733,1.0,1.0,1.0
Changu,model_mlp_20260710_205501_final_offline_data_june_27-training-data-mlp,0.16617584228515625,-0.003004312515258789,0.004892706871032715,20.146528244018555,19.9803524017334,0.6190997362136841,0.6221040487289429,0.5132453441619873,0.51813805103302,-0.004266880452632904,-163161,-40.66109013557434,1.0,1.0,1.0
Chatteau_circle_60_and_45_degrees,model_mlp_20260710_205501_final_offline_data_june_27-training-data-mlp,-0.010766983032226562,0.0002912282943725586,-0.016406774520874023,23.364660263061523,23.37542724609375,0.567764163017273,0.5674729347229004,0.465678334236145,0.449271559715271,-0.0070570483803749084,-144948,-14.997682809829712,1.0,1.0,1.0
DJI_202402171501_006_KTM20-oblique,model_mlp_20260710_205501_final_offline_data_june_27-training-data-mlp,0.02095794677734375,0.0054552555084228516,0.01966908574104309,22.692419052124023,22.67146110534668,0.7504027485847473,0.7449474930763245,0.2893849313259125,0.30905401706695557,-0.0004953145980834961,-796219,-119.1798632144928,1.0,1.0,1.0
Kninice_Church_of_the_Exaltation_of_the_Holy_Cross,model_mlp_20260710_205501_final_offline_data_june_27-training-data-mlp,-0.2532463073730469,-0.002070784568786621,-0.008533507585525513,20.689714431762695,20.942960739135742,0.68047034740448,0.6825411319732666,0.4620847702026367,0.4535512626171112,-0.008198931813240051,-102683,-21.01398992538452,1.0,1.0,1.0
Pix4d_forensic,model_mlp_20260710_205501_final_offline_data_june_27-training-data-mlp,0.16356468200683594,-6.097555160522461e-05,0.0021889209747314453,24.0831241607666,23.919559478759766,0.5210085511207581,0.5210695266723633,0.6467832326889038,0.6489721536636353,-0.004739254713058472,-98631,-5.986317873001099,1.0,1.0,1.0
12-Maisonneuve Market,model_ridge_20260710_203218_final_offline_data_june_27-training-data-ridge,0.25481414794921875,0.006205558776855469,0.014316320419311523,17.35307502746582,17.0982608795166,0.6594593524932861,0.6532537937164307,0.4596402645111084,0.4739565849304199,-0.010043047368526459,-64868,105.10043215751648,1.0,1.0,1.0
4-Thomas-More-Church,model_ridge_20260710_203218_final_offline_data_june_27-training-data-ridge,-0.1627826690673828,0.0043236613273620605,0.011743307113647461,21.70465850830078,21.867441177368164,0.7844370603561401,0.7801133990287781,0.2902514636516571,0.30199477076530457,0.019329965114593506,-113878,23.055277824401855,1.0,1.0,1.0
Brasov,model_ridge_20260710_203218_final_offline_data_june_27-training-data-ridge,0.0023403167724609375,0.015386641025543213,0.030904456973075867,23.364574432373047,23.362234115600586,0.8176702857017517,0.8022836446762085,0.161638081073761,0.19254253804683685,-0.0011165551841259003,-336263,-38.37044620513916,1.0,1.0,1.0
